Date,Views,Forecast(Views),Lower Confidence Bound(Views),Upper Confidence Bound(Views)
10/10/2022,1293,,,
10/11/2022,1498,,,
10/12/2022,1377,,,
10/13/2022,1111,,,
10/14/2022,1127,,,
10/15/2022,1356,,,
10/16/2022,1281,,,
10/17/2022,1325,,,
10/18/2022,1123,,,
10/19/2022,1071,,,
10/20/2022,1064,,,
10/21/2022,916,,,
10/22/2022,781,,,
10/23/2022,550,,,
10/24/2022,631,,,
10/25/2022,871,,,
10/26/2022,940,,,
10/27/2022,986,,,
10/28/2022,1140,,,
10/29/2022,1235,,,
10/30/2022,1109,,,
10/31/2022,1082,,,
11/1/2022,1088,,,
11/2/2022,911,,,
11/3/2022,970,,,
11/4/2022,886,,,
11/5/2022,1151,,,
11/6/2022,2322,,,
11/7/2022,1910,,,
11/8/2022,1444,,,
11/9/2022,1093,,,
11/10/2022,1169,,,
11/11/2022,1051,,,
11/12/2022,1118,,,
11/13/2022,1181,,,
11/14/2022,1303,,,
11/15/2022,1104,,,
11/16/2022,1024,,,
11/17/2022,1059,,,
11/18/2022,1036,,,
11/19/2022,1119,,,
11/20/2022,1112,,,
11/21/2022,1197,,,
11/22/2022,1050,,,
11/23/2022,1017,,,
11/24/2022,992,,,
11/25/2022,951,,,
11/26/2022,1031,,,
11/27/2022,1111,,,
11/28/2022,1084,,,
11/29/2022,1357,,,
11/30/2022,1418,,,
12/1/2022,1914,,,
12/2/2022,1276,,,
12/3/2022,1480,,,
12/4/2022,1735,,,
12/5/2022,1489,,,
12/6/2022,1469,,,
12/7/2022,1389,,,
12/8/2022,1179,,,
12/9/2022,1234,,,
12/10/2022,1677,,,
12/11/2022,1966,,,
12/12/2022,1878,,,
12/13/2022,1645,,,
12/14/2022,1498,,,
12/15/2022,1465,,,
12/16/2022,1463,,,
12/17/2022,2052,,,
12/18/2022,1567,,,
12/19/2022,1731,,,
12/20/2022,1560,,,
12/21/2022,1408,,,
12/22/2022,1392,,,
12/23/2022,1501,,,
12/24/2022,1807,,,
12/25/2022,1583,,,
12/26/2022,1727,,,
12/27/2022,1742,,,
12/28/2022,1908,,,
12/29/2022,1604,,,
12/30/2022,1822,,,
12/31/2022,2037,,,
1/1/2023,2138,,,
1/2/2023,2077,,,
1/3/2023,1894,,,
1/4/2023,1934,,,
1/5/2023,1855,,,
1/6/2023,1828,,,
1/7/2023,1824,,,
1/8/2023,2029,,,
1/9/2023,1917,,,
1/10/2023,1984,,,
1/11/2023,2003,,,
1/12/2023,1812,,,
1/13/2023,1867,,,
1/14/2023,1984,1984,1984.00,1984.00
1/15/2023,,1990.215358,1579.60,2400.83
1/16/2023,,1996.430717,1461.67,2531.19
1/17/2023,,2002.646075,1367.34,2637.95
1/18/2023,,2008.861433,1286.68,2731.04
1/19/2023,,2015.076792,1215.23,2814.93
1/20/2023,,2021.29215,1150.52,2892.07
1/21/2023,,2027.507509,1091.01,2964.01
1/22/2023,,2033.722867,1035.68,3031.77
1/23/2023,,2039.938225,983.80,3096.08
1/24/2023,,2046.153584,934.82,3157.49
1/25/2023,,2052.368942,888.34,3216.40
1/26/2023,,2058.5843,844.02,3273.15
1/27/2023,,2064.799659,801.61,3327.99
1/28/2023,,2071.015017,760.89,3381.14
1/29/2023,,2077.230375,721.70,3432.76
1/30/2023,,2083.445734,683.87,3483.02
1/31/2023,,2089.661092,647.29,3532.03
2/1/2023,,2095.87645,611.85,3579.91
2/2/2023,,2102.091809,577.45,3626.74
2/3/2023,,2108.307167,544.01,3672.60
2/4/2023,,2114.522526,511.46,3717.58
2/5/2023,,2120.737884,479.75,3761.73
2/6/2023,,2126.953242,448.80,3805.11
2/7/2023,,2133.168601,418.57,3847.77
2/8/2023,,2139.383959,389.02,3889.75
2/9/2023,,2145.599317,360.11,3931.09
2/10/2023,,2151.814676,331.79,3971.84
2/11/2023,,2158.030034,304.04,4012.02
2/12/2023,,2164.245392,276.82,4051.67
2/13/2023,,2170.460751,250.11,4090.81
2/14/2023,,2176.676109,223.88,4129.47
2/15/2023,,2182.891468,198.11,4167.68
2/16/2023,,2189.106826,172.77,4205.45
2/17/2023,,2195.322184,147.85,4242.80
2/18/2023,,2201.537543,123.32,4279.76
2/19/2023,,2207.752901,99.17,4316.34
2/20/2023,,2213.968259,75.38,4352.55
2/21/2023,,2220.183618,51.95,4388.42
2/22/2023,,2226.398976,28.84,4423.96
2/23/2023,,2232.614334,6.06,4459.17
2/24/2023,,2238.829693,-16.42,4494.08
2/25/2023,,2245.045051,-38.60,4528.69
2/26/2023,,2251.26041,-60.50,4563.02
2/27/2023,,2257.475768,-82.12,4597.07
2/28/2023,,2263.691126,-103.48,4630.86
3/1/2023,,2269.906485,-124.58,4664.39
3/2/2023,,2276.121843,-145.43,4697.68
3/3/2023,,2282.337201,-166.05,4730.72
3/4/2023,,2288.55256,-186.43,4763.54
3/5/2023,,2294.767918,-206.59,4796.13
3/6/2023,,2300.983276,-226.54,4828.51
3/7/2023,,2307.198635,-246.27,4860.67
3/8/2023,,2313.413993,-265.81,4892.63
3/9/2023,,2319.629351,-285.14,4924.40
3/10/2023,,2325.84471,-304.28,4955.97
3/11/2023,,2332.060068,-323.24,4987.36
3/12/2023,,2338.275427,-342.02,5018.57
3/13/2023,,2344.490785,-360.62,5049.60
3/14/2023,,2350.706143,-379.05,5080.46
3/15/2023,,2356.921502,-397.32,5111.16
3/16/2023,,2363.13686,-415.42,5141.69
3/17/2023,,2369.352218,-433.37,5172.07
3/18/2023,,2375.567577,-451.16,5202.30
3/19/2023,,2381.782935,-468.80,5232.37
3/20/2023,,2387.998293,-486.30,5262.30
3/21/2023,,2394.213652,-503.66,5292.09
3/22/2023,,2400.42901,-520.88,5321.74
3/23/2023,,2406.644369,-537.96,5351.25
3/24/2023,,2412.859727,-554.91,5380.63
3/25/2023,,2419.075085,-571.74,5409.89
3/26/2023,,2425.290444,-588.43,5439.02
3/27/2023,,2431.505802,-605.01,5468.02
3/28/2023,,2437.72116,-621.46,5496.91
3/29/2023,,2443.936519,-637.80,5525.68
3/30/2023,,2450.151877,-654.03,5554.33
3/31/2023,,2456.367235,-670.14,5582.87
4/1/2023,,2462.582594,-686.14,5611.30
4/2/2023,,2468.797952,-702.03,5639.63
4/3/2023,,2475.013311,-717.82,5667.85
4/4/2023,,2481.228669,-733.51,5695.96
4/5/2023,,2487.444027,-749.09,5723.98
4/6/2023,,2493.659386,-764.58,5751.90
4/7/2023,,2499.874744,-779.97,5779.72
4/8/2023,,2506.090102,-795.27,5807.45
4/9/2023,,2512.305461,-810.47,5835.08
4/10/2023,,2518.520819,-825.58,5862.62
4/11/2023,,2524.736177,-840.60,5890.08
4/12/2023,,2530.951536,-855.54,5917.44
4/13/2023,,2537.166894,-870.39,5944.72
4/14/2023,,2543.382252,-885.16,5971.92
4/15/2023,,2549.597611,-899.84,5999.04
4/16/2023,,2555.812969,-914.44,6026.07
4/17/2023,,2562.028328,-928.97,6053.02
4/18/2023,,2568.243686,-943.41,6079.90
4/19/2023,,2574.459044,-957.78,6106.70
4/20/2023,,2580.674403,-972.07,6133.42
4/21/2023,,2586.889761,-986.29,6160.07
4/22/2023,,2593.105119,-1000.44,6186.65
4/23/2023,,2599.320478,-1014.51,6213.15
4/24/2023,,2605.535836,-1028.52,6239.59
4/25/2023,,2611.751194,-1042.45,6265.96
4/26/2023,,2617.966553,-1056.32,6292.26
4/27/2023,,2624.181911,-1070.13,6318.49
4/28/2023,,2630.39727,-1083.86,6344.66
4/29/2023,,2636.612628,-1097.53,6370.76
4/30/2023,,2642.827986,-1111.14,6396.80
5/1/2023,,2649.043345,-1124.69,6422.78
5/2/2023,,2655.258703,-1138.18,6448.69
5/3/2023,,2661.474061,-1151.60,6474.55
5/4/2023,,2667.68942,-1164.97,6500.35
5/5/2023,,2673.904778,-1178.28,6526.09
5/6/2023,,2680.120136,-1191.53,6551.77
5/7/2023,,2686.335495,-1204.72,6577.39
5/8/2023,,2692.550853,-1217.86,6602.96
5/9/2023,,2698.766212,-1230.95,6628.48
5/10/2023,,2704.98157,-1243.98,6653.94
5/11/2023,,2711.196928,-1256.95,6679.35
5/12/2023,,2717.412287,-1269.88,6704.70
5/13/2023,,2723.627645,-1282.75,6730.01
5/14/2023,,2729.843003,-1295.57,6755.26
5/15/2023,,2736.058362,-1308.35,6780.46
5/16/2023,,2742.27372,-1321.07,6805.62
5/17/2023,,2748.489078,-1333.75,6830.73
5/18/2023,,2754.704437,-1346.38,6855.78
5/19/2023,,2760.919795,-1358.96,6880.80
5/20/2023,,2767.135153,-1371.49,6905.76
5/21/2023,,2773.350512,-1383.98,6930.68
5/22/2023,,2779.56587,-1396.42,6955.55
5/23/2023,,2785.781229,-1408.82,6980.38
5/24/2023,,2791.996587,-1421.18,7005.17
5/25/2023,,2798.211945,-1433.49,7029.91
5/26/2023,,2804.427304,-1445.76,7054.61
5/27/2023,,2810.642662,-1457.99,7079.27
5/28/2023,,2816.85802,-1470.17,7103.89
5/29/2023,,2823.073379,-1482.32,7128.47
5/30/2023,,2829.288737,-1494.43,7153.00
5/31/2023,,2835.504095,-1506.49,7177.50
6/1/2023,,2841.719454,-1518.52,7201.96
6/2/2023,,2847.934812,-1530.51,7226.38
6/3/2023,,2854.150171,-1542.46,7250.76
6/4/2023,,2860.365529,-1554.37,7275.10
6/5/2023,,2866.580887,-1566.24,7299.41
6/6/2023,,2872.796246,-1578.08,7323.68
6/7/2023,,2879.011604,-1589.89,7347.91
6/8/2023,,2885.226962,-1601.65,7372.11
6/9/2023,,2891.442321,-1613.38,7396.27
6/10/2023,,2897.657679,-1625.08,7420.40
6/11/2023,,2903.873037,-1636.74,7444.49
6/12/2023,,2910.088396,-1648.37,7468.55
6/13/2023,,2916.303754,-1659.97,7492.58
6/14/2023,,2922.519113,-1671.53,7516.57
6/15/2023,,2928.734471,-1683.06,7540.53
6/16/2023,,2934.949829,-1694.56,7564.46
6/17/2023,,2941.165188,-1706.03,7588.36
6/18/2023,,2947.380546,-1717.46,7612.22
6/19/2023,,2953.595904,-1728.86,7636.06
6/20/2023,,2959.811263,-1740.24,7659.86
6/21/2023,,2966.026621,-1751.58,7683.63
6/22/2023,,2972.241979,-1762.89,7707.38
6/23/2023,,2978.457338,-1774.18,7731.09
6/24/2023,,2984.672696,-1785.43,7754.78
6/25/2023,,2990.888054,-1796.66,7778.43
6/26/2023,,2997.103413,-1807.85,7802.06
6/27/2023,,3003.318771,-1819.02,7825.66
6/28/2023,,3009.53413,-1830.17,7849.23
6/29/2023,,3015.749488,-1841.28,7872.78
6/30/2023,,3021.964846,-1852.37,7896.30
7/1/2023,,3028.180205,-1863.43,7919.79
7/2/2023,,3034.395563,-1874.46,7943.25
7/3/2023,,3040.610921,-1885.47,7966.69
7/4/2023,,3046.82628,-1896.45,7990.10
7/5/2023,,3053.041638,-1907.41,8013.49
7/6/2023,,3059.256996,-1918.34,8036.85
7/7/2023,,3065.472355,-1929.25,8060.19
7/8/2023,,3071.687713,-1940.13,8083.50
7/9/2023,,3077.903072,-1950.99,8106.79
7/10/2023,,3084.11843,-1961.82,8130.06
7/11/2023,,3090.333788,-1972.63,8153.30
7/12/2023,,3096.549147,-1983.42,8176.51
7/13/2023,,3102.764505,-1994.18,8199.71
7/14/2023,,3108.979863,-2004.92,8222.88
7/15/2023,,3115.195222,-2015.64,8246.03
7/16/2023,,3121.41058,-2026.33,8269.15
7/17/2023,,3127.625938,-2037.00,8292.26
7/18/2023,,3133.841297,-2047.65,8315.34
7/19/2023,,3140.056655,-2058.28,8338.40
7/20/2023,,3146.272014,-2068.89,8361.43
7/21/2023,,3152.487372,-2079.48,8384.45
7/22/2023,,3158.70273,-2090.04,8407.45
7/23/2023,,3164.918089,-2100.59,8430.42
7/24/2023,,3171.133447,-2111.11,8453.38
7/25/2023,,3177.348805,-2121.61,8476.31
7/26/2023,,3183.564164,-2132.10,8499.23
7/27/2023,,3189.779522,-2142.56,8522.12
7/28/2023,,3195.99488,-2153.01,8545.00
7/29/2023,,3202.210239,-2163.43,8567.85
7/30/2023,,3208.425597,-2173.84,8590.69
7/31/2023,,3214.640955,-2184.22,8613.50
8/1/2023,,3220.856314,-2194.59,8636.30
8/2/2023,,3227.071672,-2204.94,8659.08
